,Hydro,PumpedStorage,Nuclear,Coal,FuelGas,DieselEngines,GasTurbine,SteamTurbine,CombinedCycle,Hydroeolian,Wind,SolarPhotovoltaic,ThermalSolar,OtherRenewables,Cogeneration,NonRenewableWaste,RenewableWaste,TotalGeneration,year,month
2014-01,4261392.824000001,443678.644,4526062.779,2293159.522000001,-148.739,275357.985,54877.485,216697.507,1809988.573,,6570961.682,377518.728,79800.655,380895.5869999997,2550462.4209999978,143220.5219999999,49339.64799999996,24033265.823,2014,1
2014-02,5763251.167000002,369221.991,4721937.495,884091.4269999999,-134.753,253341.74199999988,57405.486,176742.116,1522593.868,,5917525.957000004,434383.4,103264.502,293997.433,1876056.0590000032,122564.6445,35868.03949999997,22532110.57400001,2014,2
2014-03,5293018.012000005,354775.253,5286792.276,1294242.753,-140.9,255615.00200000024,62648.045,150180.23,1595228.047,,5096447.600000001,735970.624,385175.316,305878.24899999995,1831179.4969999995,112142.40800000002,32435.466,22791587.878000006,2014,3
2014-04,4986856.873000002,361188.617,5056306.647,1385564.2160000007,-107.327,239877.29,65461.729,152334.8,1504174.671,,3978164.7529999954,791985.906,435527.059,266467.5090000002,1618663.434999999,137938.53799999994,51170.32,21031575.035999995,2014,4
2014-05,2826765.2330000023,275956.466,4336633.309,3367749.592999998,-109.851,257606.2699999999,71625.317,145996.242,1711553.922,,4177875.5180000006,924515.196,729935.555,330192.0059999999,1931174.990999999,162033.55599999995,60551.00399999999,21310054.327000003,2014,5
2014-06,2485721.724999999,207702.648,3416665.53,5213203.683,-42.239,269476.807,87021.399,168776.14,2019807.494,2.02,3310964.305,903765.521,687288.082,330073.19600000035,2075296.108000001,165420.4209999999,58360.80699999999,21399503.647,2014,6
2014-07,2354817.0699999994,170772.351,4253413.44,5611649.546000001,-40.735,285741.3359999999,102131.947,183304.363,2125220.333,8.639,3637132.6400000015,951577.792,811153.184,338214.08200000064,2119348.257000001,171443.9505000001,67005.23250000001,23182893.428000007,2014,7
2014-08,2044885.494999999,151656.944,4205395.065,5290263.660999999,-37.553,309799.26300000004,99070.232,180445.913,2491271.924,274.245,2916901.0089999977,914035.232,833178.48,349912.52600000036,1985660.948,181397.15049999993,55681.83150000004,22009792.366,2014,8
2014-09,1797144.6460000004,160190.696,4801362.391,5911342.018000002,-37.085,290243.2270000002,116707.437,162070.836,2974351.96,101.643,2145217.4680000027,686972.707,389595.903,333100.12700000027,2113661.7500000014,190699.54199999993,68960.82199999997,22141686.088000003,2014,9
2014-10,1632018.123999999,267502.314,5126607.422,4545617.656000002,-20.549,267418.51799999987,88852.186,169781.14,2509485.229,160.44,3398887.781000002,647940.198,289337.03,300498.95900000003,2127458.8549999977,190540.07750000007,64805.28349999996,21626890.664,2014,10
