,Hydro,PumpedStorage,Nuclear,Coal,FuelGas,DieselEngines,GasTurbine,SteamTurbine,CombinedCycle,Hydroeolian,Wind,SolarPhotovoltaic,ThermalSolar,OtherRenewables,Cogeneration,NonRenewableWaste,RenewableWaste,TotalGeneration,year,month,day
2014-01-01,73065.05200000001,6970.16,146015.503,25240.655,-4.599,8388.976,1481.931,6117.065,53534.6,,257896.205,7631.801,519.532,11897.24,54043.077,4616.7525,1877.3425,659291.293,2014,1,1
2014-01-02,89171.54500000003,23682.079,146147.546,37546.113,-4.825,8659.002,2325.496,7586.721,52322.227,,270764.404,3836.442,177.784,11564.649,79006.63200000001,4743.0875,1831.7535,739360.656,2014,1,2
2014-01-03,102502.527,23882.275,146198.074,42672.05400000001,-4.767,8734.932,2196.861,8043.085,51254.562,,248822.07800000004,8673.179,1157.242,11891.476,85658.22799999997,4657.517,1599.852,747939.1749999999,2014,1,3
2014-01-04,106840.706,8520.894,146270.916,30782.043,-4.626,8427.393,1620.337,6875.346,32862.777,,315077.619,8813.196,478.934,12103.26,65312.961,4375.216,1519.458,749876.43,2014,1,4
2014-01-05,117217.635,17345.744,121525.188,24606.925,-4.795,8346.54,1564.459,6511.197,41422.898,,260674.58799999996,10878.603,2137.221,11775.113,64800.182,4462.8175,1729.6255,694993.9409999999,2014,1,5
2014-01-06,110841.69399999997,12002.167,138871.873,24126.403,-4.589,8373.682,1392.053,6032.249,44002.059,,200748.21000000005,14575.066,3387.373,11760.383,72983.825,4695.671,1870.948,655659.067,2014,1,6
2014-01-07,137057.77,14969.236,146590.231,88419.072,-4.666,9071.864,2101.435,7522.42,61452.9,,164116.64800000004,15038.529,4952.227,11433.295,87134.41799999999,4929.0915,1948.4415,756732.9119999998,2014,1,7
2014-01-08,140921.27499999997,13548.455,146607.037,121447.736,-4.62,8880.172,2354.029,7412.564,50235.866,,172744.17400000003,16509.065,5368.879,12135.745,92107.381,5012.773,1921.6,797202.1309999999,2014,1,8
2014-01-09,145404.93899999998,18947.146,146601.481,163968.872,-4.841,9236.782,2648.73,7573.813,67803.967,,87870.35500000001,13483.75,3597.518,12587.381,93641.83,5090.702,1979.683,780432.108,2014,1,9
2014-01-10,146323.349,18990.914,146618.268,180354.93399999995,-4.835,8823.617,2078.668,7488.439,78567.867,,74146.85600000001,9637.23,767.653,12718.091,94233.297,5090.6715,1942.0285,787777.0480000001,2014,1,10
2014-01-11,148799.59300000002,13138.34,146659.705,176164.60899999994,-4.376,8470.519,2174.616,6969.413,59293.168,,28923.31800000001,11343.641,3437.767,12892.435,75044.95099999999,5127.7985,1896.3225,700331.82,2014,1,11
2014-01-12,127057.43199999999,12486.473,146617.966,90047.08800000002,-4.236,8751.235,1259.437,6341.824,37154.746,,142409.78900000002,11090.636,1252.3,13067.05,71351.37199999999,4966.4885,1861.4545,675711.0550000002,2014,1,12
2014-01-13,146286.975,17112.838,146536.943,79545.57699999999,-4.723,8961.305,1717.139,7249.543,59456.535,,218591.85900000003,8208.454,1158.206,12809.026,88853.20599999999,4947.915,1661.961,803092.7590000001,2014,1,13
2014-01-14,134555.72499999998,12181.095,146393.731,70246.43,-5.015,8869.375,1563.808,7241.835,46121.797,,289846.808,7283.451,405.388,12362.41,89119.48,4755.5265,1721.6925,832663.5370000001,2014,1,14
2014-01-15,142618.91,15170.901,146442.99,90809.471,-5.199,8961.682,2068.971,7689.113,67316.523,,195016.398,6902.819,823.343,12428.729,92040.11099999998,4732.8435,1746.4135,794764.0190000001,2014,1,15
2014-01-16,140457.456,11263.2,146303.895,87311.91300000002,-5.066,9062.133,2077.099,7691.602,62433.983,,218889.29700000005,7648.331,329.909,12676.106,91822.34899999997,4689.2155,1727.5095,804378.932,2014,1,16
2014-01-17,141433.91499999998,10146.678,146092.925,87312.96699999999,-4.802,8975.572,1626.589,7681.737,62244.389,,211964.124,11945.32,668.139,12849.726,92542.349,4549.176,1849.165,801877.969,2014,1,17
2014-01-18,146938.396,10425.769,145939.539,83747.615,-4.33,8800.065,1109.903,7328.771,49935.804,,142684.55999999997,9120.161,391.558,12987.735,73859.53499999999,4399.922,1601.647,699266.6499999999,2014,1,18
2014-01-19,127720.689,12001.525,137185.067,42537.851,-4.238,8630.502,1027.194,6865.07,50534.291,,177407.21700000003,11021.692,2588.328,12315.715,71862.903,4575.607,1346.273,667615.6860000001,2014,1,19
2014-01-20,144555.38000000003,13572.398,143881.363,73460.842,-4.974,9345.619,1557.754,7342.984,66195.412,,249820.168,17317.75,4470.638,11659.73000000001,88772.923,4535.5275,1335.9625,837819.4770000001,2014,1,20
2014-01-21,155319.027,12251.942,145898.402,113044.953,-4.991,9421.176,1596.454,7575.441,85020.088,,189593.033,10746.462,873.445,12012.489,90927.369,4611.8325,1325.5055,840212.628,2014,1,21
2014-01-22,153675.451,11545.977,145933.913,118659.309,-5.124,9149.689,1984.666,7649.731,91434.886,,180195.94499999995,10110.534,807.857,11904.225,90803.72900000004,4408.304,1326.973,839586.0650000001,2014,1,22
2014-01-23,154527.977,7064.865,146006.682,105694.654,-5.428,8980.364,1506.232,6995.183,71019.965,,200523.23999999996,20917.216,7907.727,12237.642,90330.182,4476.4295,1322.2955,839505.2259999999,2014,1,23
2014-01-24,144196.43099999998,11303.795,146001.663,77994.916,-4.777,8835.962,2488.079,6184.047,57360.74,,264254.2029999999,17907.167,6467.507,12887.098,91445.532,4505.7035,1305.2725,853133.3389999998,2014,1,24
2014-01-25,139108.46600000001,13837.899,146106.692,30822.08900000001,-4.152,8913.893,1225.162,5480.738,36819.803,,271953.251,16660.713,5599.211,13146.385,70834.397,4513.3105,1330.7185,766348.576,2014,1,25
2014-01-26,132468.684,13224.832,150204.298,21755.844,-4.197,8587.129,1070.167,4802.717,41157.365,,239184.74600000004,18287.051,4737.478,12848.496,66854.591,4288.0975,1319.0455,720786.3440000002,2014,1,26
2014-01-27,134185.01700000002,18613.625,157814.667,27476.44800000001,-4.58,9112.699,1586.942,6437.366,45272.89,,329180.294,16418.597,2277.655,12267.531,81659.36600000001,4069.2015,1255.8845,847623.603,2014,1,27
2014-01-28,150887.59,21311.453,164368.976,29039.46800000001,-4.926,8973.16,2135.645,6227.158,31543.84,,329041.904,11395.691,1785.744,12312.629,82936.73600000002,4324.368,1274.917,857554.3529999999,2014,1,28
2014-01-29,174746.23100000006,20065.004,147981.77,47871.97399999999,-5.143,9422.053,1603.816,7322.118,103908.437,,197855.93599999996,12132.648,1754.189,11988.802,85900.34899999999,4513.642,1231.985,828293.8110000001,2014,1,29
2014-01-30,169006.172,11504.605,146133.597,47706.68700000001,-5.644,9056.222,1867.052,7248.964,62906.062,,246511.19499999995,20823.57,8353.415,11383.619,86471.583,4244.63,1339.125,834550.8539999999,2014,1,30
2014-01-31,183500.815,16596.36,146111.878,52744.01000000001,-5.655,9134.671,1866.761,7209.253,89398.126,,194253.26,11159.963,1166.488,11991.376,88107.577,4310.6835,1338.7925,818884.359,2014,1,31
2014-02-01,161849.275,8404.084,146035.108,19024.603,-5.158,9420.128,1654.347,6777.778,35667.05,,287870.06000000006,12262.597,1642.332,10769.767,66972.26,4434.008,1259.531,774037.7700000001,2014,2,1
2014-02-02,177293.35499999998,10477.384,147240.146,24512.444,-5.19,9114.492,1559.094,6241.169,63177.557,,165998.945,22786.247,8091.345,10769.245,69097.578,4454.828,1171.447,721980.0859999999,2014,2,2
2014-02-03,188258.22599999997,15034.637,158711.004,36565.139,-5.801,9632.39,1865.361,6408.161,75416.051,,225646.44199999995,11120.897,1586.954,11885.545,85996.96599999999,4423.8645,1151.9805,833697.817,2014,2,3
2014-02-04,194357.59300000005,14104.633,169245.619,31724.078,-5.954,9741.801,3007.733,5992.876,65526.283,,248619.08699999997,11883.014,612.631,12002.309,84395.24799999999,4437.756,1150.031,856794.738,2014,2,4
2014-02-05,164878.127,8727.403,170504.344,29911.55,-5.77,9425.328,2505.253,6952.733,49831.451,,317551.89800000004,11845.261,295.286,11938.248,81799.786,4213.257,1133.634,871507.789,2014,2,5
2014-02-06,179597.777,15184.993,170414.903,30371.33,-5.622,9201.962,2342.53,6896.268,43414.586,,258870.449,15568.855,1301.693,12140.346,80466.18900000001,4182.859,1279.593,831228.711,2014,2,6
2014-02-07,176852.94,10887.774,170375.02,27172.804,-5.601,9493.236,1697.784,6841.611,36217.905,,289287.09200000006,18011.583,2315.482,11184.108,77850.05300000001,3927.3985,1090.6075,843199.797,2014,2,7
2014-02-08,190947.586,7369.83,170280.006,22927.039,-5.304,9438.917,1617.124,5976.68,27244.768,,253118.29700000005,9360.108,653.404,10319.368,57694.31200000001,3527.9215,754.8235,771224.8800000002,2014,2,8
2014-02-09,204256.49099999995,12019.936,170496.282,20910.457,-5.19,9168.697,1291.65,6065.073,32700.784,,185386.24499999997,5652.344,138.479,10112.351,56615.076,3551.769,671.56,719032.004,2014,2,9
2014-02-10,211382.01,16705.527,170753.671,25288.897,-5.676,9413.898,2186.537,6603.714,41646.075,,268216.708,17013.106,4477.456,10145.78,70770.825,3801.28,693.622,859093.43,2014,2,10
2014-02-11,228952.197,23188.861,171045.393,37625.43800000001,-5.413,9272.98,2374.832,6482.225,78209.461,,236204.16399999993,6192.486,253.716,10554.488,73167.06,3838.0905,789.8565,888145.8349999998,2014,2,11
2014-02-12,235809.71699999995,9599.8,171190.526,35903.351,-4.999,9357.877,1974.53,6386.064,68594.312,,231098.25799999997,13733.092,986.893,9805.825,72950.30700000002,4112.598,878.251,872376.402,2014,2,12
2014-02-13,211713.19799999995,3988.835,171104.659,26828.308,-5.068,9290.241,2104.022,6743.539,50041.828,,276506.49399999995,14157.042,705.21,9848.206,64551.48199999999,3570.789,801.306,851950.0909999998,2014,2,13
2014-02-14,218692.344,12099.392,171034.417,26279.24600000001,-4.243,9345.513,1980.064,7067.815,42559.92,,218718.012,16444.431,2004.444,9376.849,61805.51999999999,3839.68,840.961,802084.3650000001,2014,2,14
