,obs_id,obs_type,point_id,dither_id,start_time,RA,Dec,PA,lon,lat,ec_pa
0,1,WS,1,0,2023-06-26 11:59:23+00:00,31.5258,-47.6687,53.8236,2.8921,-54.9175,89.9759
1,1,WS,2,1,2023-06-26 12:17:05+00:00,31.5325,-47.7036,53.8187,2.8626,-54.9484,90.0
2,1,WS,3,2,2023-06-26 12:34:47+00:00,31.5596,-47.7285,53.7986,2.8626,-54.9792,90.0
3,1,WS,4,3,2023-06-26 12:52:29+00:00,31.5663,-47.7634,53.7936,2.8331,-55.01,90.0242
4,2,WS,5,0,2023-06-26 13:12:36+00:00,32.3351,-48.2325,53.3693,3.0714,-55.6929,89.9752
5,2,WS,6,1,2023-06-26 13:30:18+00:00,32.3423,-48.2673,53.364,3.0413,-55.7237,90.0
6,2,WS,7,2,2023-06-26 13:48:00+00:00,32.37,-48.2921,53.3433,3.0413,-55.7545,90.0
7,2,WS,8,3,2023-06-26 14:05:42+00:00,32.3772,-48.3269,53.3379,3.0112,-55.7854,90.0249
8,3,WS,9,0,2023-06-26 14:25:50+00:00,33.2283,-48.7579,52.936,3.3562,-56.4682,89.9744
9,3,WS,10,1,2023-06-26 14:43:32+00:00,33.236,-48.7927,52.9303,3.3255,-56.499,90.0
10,3,WS,11,2,2023-06-26 15:01:14+00:00,33.2642,-48.8173,52.909,3.3255,-56.5299,90.0
11,3,WS,12,3,2023-06-26 15:18:56+00:00,33.2719,-48.8521,52.9032,3.2948,-56.5607,90.0256
12,4,WS,13,0,2023-06-26 15:39:02+00:00,34.0031,-49.3456,52.4233,3.4437,-57.2434,89.9736
13,4,WS,14,1,2023-06-26 15:56:44+00:00,34.0114,-49.3804,52.4171,3.4124,-57.2743,90.0
14,4,WS,15,2,2023-06-26 16:14:26+00:00,34.0403,-49.4048,52.3951,3.4124,-57.3051,90.0
15,4,WS,16,3,2023-06-26 16:32:08+00:00,34.0486,-49.4396,52.3888,3.381,-57.3359,90.0264
16,5,WS,17,0,2023-06-26 16:52:25+00:00,34.2832,-50.1876,51.6167,2.7429,-58.0187,89.9728
17,5,WS,18,1,2023-06-26 17:10:07+00:00,34.2924,-50.2223,51.6097,2.7109,-58.0495,90.0
18,5,WS,19,2,2023-06-26 17:27:49+00:00,34.3223,-50.2465,51.5867,2.7109,-58.0803,90.0
19,5,WS,20,3,2023-06-26 17:45:31+00:00,34.3315,-50.2812,51.5796,2.6788,-58.1112,90.0272
20,6,WS,21,0,2023-06-26 18:05:37+00:00,35.1418,-50.7432,51.0842,2.8961,-58.7938,89.972
21,6,WS,22,1,2023-06-26 18:23:19+00:00,35.1516,-50.7778,51.0766,2.8634,-58.8247,90.0
22,6,WS,23,2,2023-06-26 18:41:01+00:00,35.1823,-50.8018,51.0529,2.8634,-58.8555,90.0
23,6,WS,24,3,2023-06-26 18:58:43+00:00,35.1921,-50.8364,51.0453,2.8306,-58.8863,90.0281
24,7,WS,25,0,2023-06-26 19:18:51+00:00,35.7433,-51.4354,50.3717,2.6124,-59.5689,89.9711
25,7,WS,26,1,2023-06-26 19:36:33+00:00,35.7539,-51.47,50.3634,2.579,-59.5998,90.0
26,7,WS,27,2,2023-06-26 19:54:15+00:00,35.7855,-51.4937,50.3387,2.579,-59.6306,90.0
27,7,WS,28,3,2023-06-26 20:11:57+00:00,35.7962,-51.5282,50.3303,2.5454,-59.6614,90.0289
28,8,WS,29,0,2023-06-26 20:32:03+00:00,36.5896,-52.0073,49.7675,2.6831,-60.344,89.9702
29,8,WS,30,1,2023-06-26 20:49:45+00:00,36.601,-52.0418,49.7586,2.6488,-60.3748,90.0
30,8,WS,31,2,2023-06-26 21:07:27+00:00,36.6334,-52.0653,49.733,2.6488,-60.4056,90.0
31,8,WS,32,3,2023-06-26 21:25:09+00:00,36.6448,-52.0998,49.724,2.6145,-60.4365,90.0299
32,9,WS,33,0,2023-06-26 21:45:16+00:00,37.5561,-52.5214,49.2095,2.9207,-61.1189,89.9693
33,9,WS,34,1,2023-06-26 22:02:58+00:00,37.5681,-52.5558,49.2,2.8856,-61.1498,90.0
34,9,WS,35,2,2023-06-26 22:20:40+00:00,37.6013,-52.5791,49.1737,2.8856,-61.1806,90.0
35,9,WS,36,3,2023-06-26 22:38:22+00:00,37.6134,-52.6135,49.1641,2.8504,-61.2114,90.0308
36,10,WS,37,0,2023-06-26 22:59:17+00:00,40.1127,-54.2771,47.088,2.8467,-63.4435,89.9661
37,10,WS,38,1,2023-06-26 23:16:59+00:00,40.1274,-54.3112,47.076,2.8088,-63.4743,90.0
38,10,WS,39,2,2023-06-26 23:34:41+00:00,40.1634,-54.3338,47.0468,2.8088,-63.5052,90.0
39,10,WS,40,3,2023-06-26 23:52:23+00:00,40.1782,-54.3679,47.0348,2.7707,-63.536,90.034
40,11,WS,41,0,2023-06-27 00:12:28+00:00,41.0147,-54.8488,46.3298,2.8221,-64.2182,89.9649
41,11,WS,42,1,2023-06-27 00:30:10+00:00,41.0304,-54.8828,46.317,2.7832,-64.2491,90.0
42,11,WS,43,2,2023-06-27 00:47:52+00:00,41.0674,-54.905,46.2867,2.7832,-64.2799,90.0
43,11,WS,44,3,2023-06-27 01:05:34+00:00,41.0832,-54.939,46.2738,2.7441,-64.3107,90.0352
44,12,WS,45,0,2023-06-27 01:26:02+00:00,42.527,-55.0899,46.0594,3.8949,-64.9929,89.9637
45,12,WS,46,1,2023-06-27 01:43:44+00:00,42.5431,-55.1238,46.0462,3.8548,-65.0237,90.0
46,12,WS,47,2,2023-06-27 02:01:26+00:00,42.5805,-55.146,46.0155,3.8548,-65.0545,90.0
47,12,WS,48,3,2023-06-27 02:19:08+00:00,42.5966,-55.18,46.0022,3.8146,-65.0854,90.0365
48,13,WS,49,0,2023-06-27 02:39:23+00:00,43.1595,-55.823,44.9755,3.2773,-65.7674,89.9623
49,13,WS,50,1,2023-06-27 02:57:05+00:00,43.177,-55.8568,44.9611,3.236,-65.7982,90.0
50,13,WS,51,2,2023-06-27 03:14:47+00:00,43.2159,-55.8786,44.9289,3.236,-65.8291,90.0
51,13,WS,52,3,2023-06-27 03:32:29+00:00,43.2335,-55.9124,44.9143,3.1946,-65.8599,90.0378
52,14,WS,53,0,2023-06-27 03:52:35+00:00,44.1987,-56.338,44.2043,3.3785,-66.5419,89.9609
53,14,WS,54,1,2023-06-27 04:10:17+00:00,44.2173,-56.3716,44.1889,3.3359,-66.5727,90.0
54,14,WS,55,2,2023-06-27 04:27:59+00:00,44.2573,-56.3931,44.1556,3.3359,-66.6035,90.0
55,14,WS,56,3,2023-06-27 04:45:41+00:00,44.2759,-56.4267,44.1401,3.2932,-66.6344,90.0392
56,15,WS,57,0,2023-06-27 05:06:05+00:00,45.6632,-56.6158,43.8338,4.3043,-67.3162,89.9594
57,15,WS,58,1,2023-06-27 05:23:47+00:00,45.6823,-56.6493,43.8178,4.2604,-67.3471,90.0
58,15,WS,59,2,2023-06-27 05:41:29+00:00,45.7228,-56.6707,43.784,4.2604,-67.3779,90.0
59,15,WS,60,3,2023-06-27 05:59:11+00:00,45.742,-56.7042,43.7679,4.2163,-67.4087,90.0407
60,16,WS,61,0,2023-06-27 06:19:42+00:00,46.1369,-57.4731,42.3383,3.1194,-68.0905,89.9579
61,16,WS,62,1,2023-06-27 06:37:24+00:00,46.1581,-57.5064,42.3204,3.074,-68.1213,90.0
62,16,WS,63,2,2023-06-27 06:55:06+00:00,46.2006,-57.5272,42.2846,3.074,-68.1522,90.0
63,16,WS,64,3,2023-06-27 07:12:48+00:00,46.2219,-57.5605,42.2666,3.0284,-68.183,90.0423
64,17,WS,65,0,2023-06-27 07:33:01+00:00,47.4529,-57.8487,41.7138,3.6452,-68.8647,89.9562
65,17,WS,66,1,2023-06-27 07:50:43+00:00,47.475,-57.8818,41.6951,3.5982,-68.8955,90.0
66,17,WS,67,2,2023-06-27 08:08:25+00:00,47.5183,-57.9023,41.6584,3.5982,-68.9263,90.0
67,17,WS,68,3,2023-06-27 08:26:07+00:00,47.5405,-57.9355,41.6396,3.551,-68.9572,90.044
68,18,WS,69,0,2023-06-27 08:46:12+00:00,48.5157,-58.3825,40.7277,3.5577,-69.6387,89.9543
69,18,WS,70,1,2023-06-27 09:03:54+00:00,48.5392,-58.4155,40.7077,3.509,-69.6696,90.0
70,18,WS,71,2,2023-06-27 09:21:36+00:00,48.5838,-58.4356,40.6697,3.509,-69.7004,90.0
71,18,WS,72,3,2023-06-27 09:39:18+00:00,48.6074,-58.4685,40.6495,3.46,-69.7312,90.0459
72,19,WS,73,0,2023-06-27 09:59:23+00:00,49.666,-58.873,39.7802,3.5966,-70.4126,89.9524
73,19,WS,74,1,2023-06-27 10:17:05+00:00,49.6909,-58.9057,39.7589,3.546,-70.4435,90.0
74,19,WS,75,2,2023-06-27 10:34:47+00:00,49.7368,-58.9254,39.7196,3.546,-70.4743,90.0
75,19,WS,76,3,2023-06-27 10:52:29+00:00,49.7618,-58.9582,39.6981,3.4953,-70.5051,90.0478
76,20,WS,77,0,2023-06-27 11:12:38+00:00,50.6845,-59.4572,38.5516,3.2239,-71.1864,89.9503
77,20,WS,78,1,2023-06-27 11:30:20+00:00,50.7112,-59.4896,38.5286,3.1714,-71.2173,90.0
78,20,WS,79,2,2023-06-27 11:48:02+00:00,50.7587,-59.5088,38.4876,3.1714,-71.2481,90.0
79,20,WS,80,3,2023-06-27 12:05:44+00:00,50.7855,-59.5413,38.4645,3.1186,-71.2789,90.05
80,21,WS,81,0,2023-06-27 12:26:00+00:00,52.128,-59.7809,37.8985,3.8506,-71.9601,89.948
81,21,WS,82,1,2023-06-27 12:43:42+00:00,52.1557,-59.8132,37.8746,3.7959,-71.9909,90.0
82,21,WS,83,2,2023-06-27 13:01:24+00:00,52.2041,-59.8322,37.8327,3.7959,-72.0218,90.0
83,21,WS,84,3,2023-06-27 13:19:06+00:00,52.2319,-59.8644,37.8087,3.7409,-72.0526,90.0523
84,22,WS,85,0,2023-06-27 13:39:42+00:00,54.4691,-60.8131,35.4296,3.4002,-73.5069,89.9428
85,22,WS,86,1,2023-06-27 13:57:24+00:00,54.5005,-60.8448,35.4022,3.3405,-73.5378,90.0
86,22,WS,87,2,2023-06-27 14:15:06+00:00,54.5521,-60.8626,35.3571,3.3405,-73.5686,90.0
87,22,WS,88,3,2023-06-27 14:32:48+00:00,54.5836,-60.8943,35.3295,3.2805,-73.5994,90.0576
88,23,WS,89,0,2023-06-27 14:52:55+00:00,55.8504,-61.2049,34.4363,3.6271,-74.2801,89.9398
89,23,WS,90,1,2023-06-27 15:10:37+00:00,55.8833,-61.2363,34.4075,3.5645,-74.3109,90.0
90,23,WS,91,2,2023-06-27 15:28:19+00:00,55.9362,-61.2538,34.3611,3.5645,-74.3417,90.0
91,23,WS,92,3,2023-06-27 15:46:01+00:00,55.9693,-61.2851,34.3321,3.5016,-74.3726,90.0606
